username,user id,access hash,name,group,group id
Phoenix_Project_LTD,5620974782,-1136761896401066741,Alex,🐙🫧Tako Protocol,1964332806
CryptoMike0x,5405088732,-2313224914117437529,Mike｜ POP,🐙🫧Tako Protocol,1964332806
msanti,1478922384,-1994739638074240111,Marcos Santillana,🐙🫧Tako Protocol,1964332806
lydiapallot,6599896816,-570447477511969893,Lydia Pallot,🐙🫧Tako Protocol,1964332806
jrjy1,223795792,-3222539868983437821,Jon | coinseeker.co,🐙🫧Tako Protocol,1964332806
Lizard420,6910372762,-2642119490962298817,Lizard God,🐙🫧Tako Protocol,1964332806
vinsato,5613716017,-7873432009232385749,vct,🐙🫧Tako Protocol,1964332806
MikeJin1217,5661511914,-5238838919919840616,Mike Jin,🐙🫧Tako Protocol,1964332806
gracelsw24,498957654,2878398543296260904,Grace Li l Google Cloud,🐙🫧Tako Protocol,1964332806
ceciliali9,412364235,-4048496601103925033,C,🐙🫧Tako Protocol,1964332806
B_B87,1226378345,8536782195970463009,BB,🐙🫧Tako Protocol,1964332806
paultan0x,1826048922,-3574936178964417815,Paul (Por) Cleverse Ventures,🐙🫧Tako Protocol,1964332806
e_childsplay,998879186,7898483153471018126,Shadow,🐙🫧Tako Protocol,1964332806
maxeeze,1679831249,-2958048613879842880,Max @ WebMakers,🐙🫧Tako Protocol,1964332806
zzzaaaiiinnnk,886880033,-3376535695270618197,Zain | Itheum,🐙🫧Tako Protocol,1964332806
Mod0x69,6294575024,1406649422490893617,Frankie Moonshot,🐙🫧Tako Protocol,1964332806
chrisliquin,5544879230,-7987222701595436958,Chris Liquin,🐙🫧Tako Protocol,1964332806
Edanulloh,430602529,9159650747579748636,E-KAME $TBEAR,🐙🫧Tako Protocol,1964332806
eyensium,965118529,9068127457950585508,eyensium,🐙🫧Tako Protocol,1964332806
metatxn,903932989,-2347008814587236656,Prayag Singh | SOCLLY,🐙🫧Tako Protocol,1964332806
wazzup_1980,6568906254,-6346376927550315772,Wat Kurtsaeng,🐙🫧Tako Protocol,1964332806
jithin,64194385,4475708710688150476,Jithin Raj,🐙🫧Tako Protocol,1964332806
omiraclx,594195284,4203379155450947221,Miraculous Owonubi,🐙🫧Tako Protocol,1964332806
Dorkonn,1542663709,1368138076986227470,Eva,🐙🫧Tako Protocol,1964332806
hamidogaa,75825055,4167924822193271559,Hamid W-coin,🐙🫧Tako Protocol,1964332806
ChoyonChowdhury,1844795717,-4041252989325057861,Choyon Chowdhury 𝕏||🇨🇦,🐙🫧Tako Protocol,1964332806
Alina_Everstake,1295240434,5734208014688033260,"Alina | Everstake [OOO, till 7th]",🐙🫧Tako Protocol,1964332806
LucasFair,1186455084,-1247310101165294103,Lucas,🐙🫧Tako Protocol,1964332806
mkrtchyantigran,539157904,8654233327946579843,Tigran B. Mkrtchyan,🐙🫧Tako Protocol,1964332806
MYNTVC,113537205,2247384178608125242,Eric Benz,🐙🫧Tako Protocol,1964332806
venkatweb3,6007144320,-7679228736800410496,Venkat,🐙🫧Tako Protocol,1964332806
Jutmania,5338282536,3807137561109514376,Jake,🐙🫧Tako Protocol,1964332806
katherholt,461609367,5335615513279091299,katherholt,🐙🫧Tako Protocol,1964332806
GeorgeJunior33,1665036147,-5791394217982216646,George Jr.,🐙🫧Tako Protocol,1964332806
balendustg,1149170670,-389827919743618553,balendustg,🐙🫧Tako Protocol,1964332806
moonwalker_dark,995940588,-8567898524831720400,DivX,🐙🫧Tako Protocol,1964332806
nellapn,292482079,4170700375276437620,Nick Allen,🐙🫧Tako Protocol,1964332806
shrutipanjwani,1247367837,7614520657385759492,Shrutz,🐙🫧Tako Protocol,1964332806
frobenius,226188,-1788350752196523102,Vitaly,🐙🫧Tako Protocol,1964332806
loekTheDreamer,383085633,-4215329650167008600,Luke Carelsen,🐙🫧Tako Protocol,1964332806
permaoptimist,333151445,-5043488175443357267,Benjamin Rameau,🐙🫧Tako Protocol,1964332806
RWA_BAR,959973373,-408357543365411222,Bar | RWA Tokens,🐙🫧Tako Protocol,1964332806
limlogan,1615215197,3548144359849035295,Logan,🐙🫧Tako Protocol,1964332806
tifflung,2008606912,2239347964066977429,Tiffy | Plume,🐙🫧Tako Protocol,1964332806
mortytokyo,511882199,-3807601353619935375,Morty,🐙🫧Tako Protocol,1964332806
PyxelCEO,600197549,1737611343004059023,Richard,🐙🫧Tako Protocol,1964332806
jwhashglobal,1627038298,169918142100298462,Jensen,🐙🫧Tako Protocol,1964332806
HKJ03,1620666140,4727116499488297113,Harshit Jaiswal,🐙🫧Tako Protocol,1964332806
moe0q,6850667470,5605153122424490210,Moe Q,🐙🫧Tako Protocol,1964332806
annajoppert,1354301536,-250900086679732857,Anna Joppert,🐙🫧Tako Protocol,1964332806
master_malwyl,415911732,2001264984814073622,Ryan,🐙🫧Tako Protocol,1964332806
blueblueoutofblue,370069059,-6402396862329014168,PandaCrypto | Wayne 🇲🇾🇸🇬🇮🇩🇹🇭🇻🇳🇵🇭🇨🇳🇭🇰🇰🇷🇴🇲🇦🇪🇮🇷,🐙🫧Tako Protocol,1964332806
patyiutazza,2079957242,-694879021909121362,Pat Yiu,🐙🫧Tako Protocol,1964332806
GPDSas,5632182056,-5259369575408577038,G D,🐙🫧Tako Protocol,1964332806
maksvuk,1042537718,2174283729674419592,Maks Vukovic,🐙🫧Tako Protocol,1964332806
PGudev,404143928,-3456819101226241944,Patrik,🐙🫧Tako Protocol,1964332806
ProofOfJoker,13083190,3169092165287436806,Anatoly Kozlov | Force Prime,🐙🫧Tako Protocol,1964332806
Yasyjlakh94,965672453,-7922187551767772132,Filejson .eth,🐙🫧Tako Protocol,1964332806
berit1p,1990835546,6881162978778217142,Berit ( Never DM You First ),🐙🫧Tako Protocol,1964332806
Dalton89,327187597,7411797300778030010,Steve Jernigan,🐙🫧Tako Protocol,1964332806
Web3_Writer,1357448237,6236711484761830841,Nick Fouriezos,🐙🫧Tako Protocol,1964332806
clades_viv,5386191132,4738159759962855302,Viv,🐙🫧Tako Protocol,1964332806
hukusik,1636360479,-1990407447555807946,Hukus,🐙🫧Tako Protocol,1964332806
amengsir,1759242901,6046507790405687083,ameng sir,🐙🫧Tako Protocol,1964332806
Dr_Manhattan27,633994737,7939984105199289055,Dr. Manhattan,🐙🫧Tako Protocol,1964332806
Vaibhav_Rajput,703940932,1667814497201110460,Vaibhav | SOCLLY,🐙🫧Tako Protocol,1964332806
Yilineee_Lbank,1766013133,-772459768090905077,Miss Whale 🐳,🐙🫧Tako Protocol,1964332806
rohailr,351716281,1006366043196275664,Ro,🐙🫧Tako Protocol,1964332806
Tamarack,5131027142,8091102240708066907,Rafael,🐙🫧Tako Protocol,1964332806
seiffus,6802883254,8562266657692765397,Seif,🐙🫧Tako Protocol,1964332806
cubicruler,431274788,-8459201200667416599,Alexander Lastovski,🐙🫧Tako Protocol,1964332806
learn2trade911,602789332,-1418450948997940513,M E,🐙🫧Tako Protocol,1964332806
tarekonchain,2027959252,1959515921095134471,Tarek,🐙🫧Tako Protocol,1964332806
gemmalo,754910726,-5275223277444071776,Gemma | EVG,🐙🫧Tako Protocol,1964332806
ivansid,95413548,650805518714308759,Ivan Sidorov,🐙🫧Tako Protocol,1964332806
Bert_Biker,6182674669,-7088409828589626392,Bert Biker,🐙🫧Tako Protocol,1964332806
AmberBella,782006842,-2059694112809329916,AmberBella,🐙🫧Tako Protocol,1964332806
Arrky,48973913,7007151409226381611,Arrky,🐙🫧Tako Protocol,1964332806
yj1800,1360851963,7874190849181652155,YJ,🐙🫧Tako Protocol,1964332806
Schang515,1308000846,-7773298645705167877,Sean C,🐙🫧Tako Protocol,1964332806
AB_BTC,226212439,149318125215863970,AB,🐙🫧Tako Protocol,1964332806
pouyansol,73333804,3656722018799476853,Pouyan,🐙🫧Tako Protocol,1964332806
cL_coinstore,1957138211,2268551867162785666,Clem | Coinstore | Consensus TX,🐙🫧Tako Protocol,1964332806
artyshtlv,108998361,-746622732965345149,Arty Shatilov | Nomis,🐙🫧Tako Protocol,1964332806
yokokos,5185428509,7074735050579303704,Kosuke,🐙🫧Tako Protocol,1964332806
CryptoDragonis,1592706311,1593863311796958353,Dragonis,🐙🫧Tako Protocol,1964332806
stuppnik,5809814065,-1345666952294252212,Philipp Andreas,🐙🫧Tako Protocol,1964332806
triggerak,1294977781,-5376243971016942885,trigger -,🐙🫧Tako Protocol,1964332806
RZWEB3,6138618382,1202345484489743856,R,🐙🫧Tako Protocol,1964332806
SainathG,349533731,6206570186031361696,Sainath G | BTCLAYER,🐙🫧Tako Protocol,1964332806
nami_sh,1730223038,2881300414749807464,Nami,🐙🫧Tako Protocol,1964332806
anaostro,482835132,472567681433382476,Ana,🐙🫧Tako Protocol,1964332806
juaanpig,751197893,-8871910532789188684,Neocxela96,🐙🫧Tako Protocol,1964332806
sy_coinstore,6434095489,6427730744100087476,Saheeb|Coinstore|BD,🐙🫧Tako Protocol,1964332806
Picciano_eth,1368440529,-2863096059343057615,Jack & Jackie//Picciano.eth,🐙🫧Tako Protocol,1964332806
Umi_soku,5779143325,-37749514359771799,S Umi,🐙🫧Tako Protocol,1964332806
GabrielBegazo,1236336209,-1894260517439642453,Gabriel | Cede.store,🐙🫧Tako Protocol,1964332806
RJlwl,517855175,-8412968383101574748,Richa | Push Protocol,🐙🫧Tako Protocol,1964332806
Kapersky15,1335774450,-4700001308903823767,Zeel,🐙🫧Tako Protocol,1964332806
franckdpt,587257168,-8598418420593929635,Franck Dupont,🐙🫧Tako Protocol,1964332806
knhrin,5609068567,3082215522954608677,KURO,🐙🫧Tako Protocol,1964332806
kyriehuang,6259194838,-896933309458625982,Kyrie | Typus Finance | BD Lead,🐙🫧Tako Protocol,1964332806
theonkxr,1346395103,9169747824983176197,Onkar,🐙🫧Tako Protocol,1964332806
kiki6711,1395686668,4312663598587012044,🍌K1K1🍌,🐙🫧Tako Protocol,1964332806
agrimn,923433167,-8390700490977146561,Agrim Nagrani,🐙🫧Tako Protocol,1964332806
RealMetaMax,6199744772,-1023468471525245094,0xMetaM,🐙🫧Tako Protocol,1964332806
Samhefnawy,104407874,7724490235518906286,Sam Hefnawy,🐙🫧Tako Protocol,1964332806
lakshay,461508959,-7726138631028773467,Lakshay,🐙🫧Tako Protocol,1964332806
terranov4,313984632,-537900614244775940,Terranova,🐙🫧Tako Protocol,1964332806
Nicole_522,2012582073,-7455573576086013102,Nicole 77,🐙🫧Tako Protocol,1964332806
DarcyAsks,5353540887,6853157787186645965,Darcy,🐙🫧Tako Protocol,1964332806
kinglory,751018497,1528875998196008103,Glory | Tanzent Capital,🐙🫧Tako Protocol,1964332806
SENDNZ,5020911819,1133342323133256842,SEND Accelerator,🐙🫧Tako Protocol,1964332806
jacksteroo,438817475,-97646718278640895,Jacksteroo,🐙🫧Tako Protocol,1964332806
nirbhik,584964339,5256233848334575707,Nirbhik | check username @nirbhik,🐙🫧Tako Protocol,1964332806
V_0xRay,6025486006,-5461105702113923096,0xRay,🐙🫧Tako Protocol,1964332806
rugbuyer,1038377904,4748237124055381147,…,🐙🫧Tako Protocol,1964332806
gvcrich,1886481985,-1813007854924920003,RichSAFT,🐙🫧Tako Protocol,1964332806
wba46,6047812962,8449980669210783234,W BA,🐙🫧Tako Protocol,1964332806
,2096951561,-3482978025025733144,Audrey,🐙🫧Tako Protocol,1964332806
sid_onchain,1905740469,-96942139980619474,Sid | Socket,🐙🫧Tako Protocol,1964332806
gagan_mai,5144024577,6450109149947306902,Gagan Singhal,🐙🫧Tako Protocol,1964332806
prusela96,1853477035,8562761918524845129,Prusela,🐙🫧Tako Protocol,1964332806
Iamtusharsingla,732287057,4162515666273570669,Tushar,🐙🫧Tako Protocol,1964332806
pandeyreshav,1260720251,7927412141913024907,Reshav,🐙🫧Tako Protocol,1964332806
townstaryyds,1547246590,-1688532251276370222,Jeanne,🐙🫧Tako Protocol,1964332806
piotr_warsaw,5869931366,2463961440572030919,Piotr,🐙🫧Tako Protocol,1964332806
jakubklim,1732949797,4520897633491183043,Jakub | Marketized,🐙🫧Tako Protocol,1964332806
yura1377,136340399,-8814331624134373765,Yura,🐙🫧Tako Protocol,1964332806
BobJaeger,1558295881,2956326502233303715,Bob Jaeger,🐙🫧Tako Protocol,1964332806
wingperp,6214149270,8046009462968079163,Wing l Tradao,🐙🫧Tako Protocol,1964332806
JoeTakayama,1743840004,-2252768290630147256,Joe Takayama🇯🇵🇦🇪,🐙🫧Tako Protocol,1964332806
arkg1,260845921,382814159722407364,Arseny,🐙🫧Tako Protocol,1964332806
GluwaCreditcoin_MinKim,1817916685,1032863912329552068,Min Kim_Gluwa/Creditcoin,🐙🫧Tako Protocol,1964332806
CCAtAlvis,346396902,-3810924901496177384,Chinmay | BlockEnd,🐙🫧Tako Protocol,1964332806
crwayne,1769769417,-206414551781161185,wayne,🐙🫧Tako Protocol,1964332806
MatthewChin,382366398,-8721778780921231758,Matthew Chin - W Tech,🐙🫧Tako Protocol,1964332806
leonmax55,5892106999,-1348329473765114049,Leon Max,🐙🫧Tako Protocol,1964332806
blockchainbrett,453025126,-2811666468625890467,Blockchainbrett,🐙🫧Tako Protocol,1964332806
vgchainpatrol,5731171479,4421574245693609364,Vito | ChainPatrol,🐙🫧Tako Protocol,1964332806
sheldot,2021629496,-5539326250494920380,Sheldon Trotman | Gold.dev,🐙🫧Tako Protocol,1964332806
asitgupta,1005521948,73868590450049191,Asit Gupta,🐙🫧Tako Protocol,1964332806
a_chello,1653141696,1573228558268415518,Andrea Chello | wysdom.xyz,🐙🫧Tako Protocol,1964332806
michaeljoker,527638031,799800115298629682,Michael Yiin,🐙🫧Tako Protocol,1964332806
vladsvitanko,331007373,-6409432106973192182,Vlad,🐙🫧Tako Protocol,1964332806
advertiser247,2101508198,6679354104956781181,Advertiser,🐙🫧Tako Protocol,1964332806
nft_yogesh,524864344,-5282661901916091779,Yogesh Jakhar,🐙🫧Tako Protocol,1964332806
AsherStrong,488344461,7331628972219191425,Max C,🐙🫧Tako Protocol,1964332806
tymvest,326725488,-5262855357455299082,Tymur | Invarifi,🐙🫧Tako Protocol,1964332806
harichen,508988564,7342240420534577277,大耳朵,🐙🫧Tako Protocol,1964332806
fresh_flowers,5084068127,-5276081794185125897,Sally | King River VC 🦘,🐙🫧Tako Protocol,1964332806
amaan029,830287204,-6072535057341363675,Amaan,🐙🫧Tako Protocol,1964332806
marissaposner,5078231402,5389554642847477810,Marissa - Gold,🐙🫧Tako Protocol,1964332806
dchudchu,2144502423,-219538124033748053,Devinn Chuan,🐙🫧Tako Protocol,1964332806
Dennisonb,465236450,-236338547001537418,Dennison,🐙🫧Tako Protocol,1964332806
bronevoy,196254897,-3269316828760999307,Nikolay Bronevoy,🐙🫧Tako Protocol,1964332806
dabblerer,5273952444,-4713200733626072116,Karen | dabblerer | will NOT dm for $$,🐙🫧Tako Protocol,1964332806
rshahaev,229394762,-3898780726290032186,Ruslan Sh.,🐙🫧Tako Protocol,1964332806
singhshikhar,1142494977,-1912113062218592123,0xShikhar | Token2049🇦🇪,🐙🫧Tako Protocol,1964332806
